params,f1_score,erro
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.6708848380535127,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.6708848380535127,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6760521092102868,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.7062018363666174,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6765772537848815,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6686668129296475,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6691088001495213,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6651259425263208,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6651259425263208,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6651259425263208,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6651259425263208,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 500}",0.6400103882157947,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.6400103882157947,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.6400103882157947,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.6400103882157947,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6691088001495213,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6734977939631627,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6607318077482435,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6607318077482435,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6607318077482435,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6607318077482435,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6280588118823414,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6280588118823414,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6280588118823414,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6280588118823414,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 500}",0.5989943431803897,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.5989943431803897,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.5989943431803897,
"{'hidden_layer_sizes': (118,), 'activation': 'tanh', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.5989943431803897,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6655011655011656,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.6691088001495213,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6395552749719416,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6439778229456875,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6655011655011656,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6655011655011656,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6655011655011656,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6655011655011656,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6483822396526367,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6483822396526367,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6483822396526367,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6483822396526367,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 500}",0.666108630952381,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.666108630952381,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.666108630952381,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.666108630952381,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6624354111936533,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.6624354111936533,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6624354111936533,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6624354111936533,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6500973303670745,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6500973303670745,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6500973303670745,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6500973303670745,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6376321821117884,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6376321821117884,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6376321821117884,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6376321821117884,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 500}",0.6038986126304458,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.6038986126304458,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.6038986126304458,
"{'hidden_layer_sizes': (118,), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.6038986126304458,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.666108630952381,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.666108630952381,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.666108630952381,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.666108630952381,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6655011655011656,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'sgd', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6655011655011656,
